user_id,friends_cnt,followers_cnt,subscriptions_cnt,wall_posts_cnt,is_deleted,is_banned,is_bot
31742301,88,288,3,2509,0,0,0
312877007,102,35,335,574,0,0,0
166904585,75,36,1,6561,0,0,0
373233021,,,,,1,0,0
18563618,183,,0,,0,0,0
268168421,704,,3,,0,0,0
156628853,378,22,1,141,0,0,0
343438512,166,,0,,0,0,0
140732477,98,413,0,12,0,0,0
325288745,39,103,2,63,0,0,0
378431807,,,,,0,1,1
114501784,356,81,11,1682,0,0,0
39688983,27,24,3,43,0,0,0
44586199,47,,0,,0,0,0
306374201,523,,10,,0,0,0
146551518,227,260,4,157,0,0,0
42749539,5690,945,453,1033,0,0,0
360270600,0,25,12,6,0,0,0
139858121,736,357,7,780,0,0,0
409447810,,,,,0,1,0
49670289,103,134,7,960,0,0,0
6070767,126,13,1,87,0,0,0
138555682,138,49,9,181,0,0,0
155032787,216,171,0,10,0,0,0
172455122,152,134,3,201,0,0,0
301896224,3,2,0,1,0,0,1
333466608,,,,,1,0,0
84349256,249,111,1,1496,0,0,0
196337705,122,47,8,6,0,0,1
183989843,,,,,1,0,0
1160524,40,20,0,19,0,0,0
413924700,,,,,0,1,1
316273582,,,,,0,1,0
367969599,,,,,0,1,0
352087768,221,,1,,0,0,0
360006413,20,3,0,23,0,0,0
138049488,184,,1,,0,0,0
4711817,367,156,11,347,0,0,0
75355864,56,30,1,44,0,0,0
350472857,,,,,1,0,1
157196256,42,180,0,0,0,0,0
416899031,,,,,1,0,1
2428552,687,,6,,0,0,0
136731434,101,249,0,31,0,0,1
23314022,113,,0,,0,0,0
387360477,31,93,22,12,0,0,0
48676098,117,236,0,7,0,0,0
5788709,1031,440,15,954,0,0,0
23056377,93,666,0,990,0,0,0
12370590,118,130,5,413,0,0,0
403592193,189,,0,,0,0,0
334698053,543,273,248,0,0,0,1
3075634,39,,0,,0,0,1
164095298,,,,,1,0,0
278238141,80,18,2,0,0,0,0
155523892,34,1306,0,2,0,0,0
181440575,434,455,1,663,0,0,0
379375329,24,,7,,0,0,0
395794781,27,,3,,0,0,0
203496159,93,78,1,69,0,0,1
237210451,195,326,0,3,0,0,0
16733783,187,81,1,64,0,0,0
16274225,247,,10,,0,0,0
254721365,255,47,1,21,0,0,0
265317046,130,11,3,29,0,0,0
3032154,414,425,20,2297,0,0,0
82955696,40,42,5,55,0,0,0
194237053,325,132,5,0,0,0,0
244814101,145,,1,,0,0,0
14804585,360,,1,,0,0,0
8653703,6218,,59,,0,0,0
85332527,116,194,1,440,0,0,0
12131539,31,26,5,616,0,0,0
251095846,68,,1,,0,0,0
47041890,177,237,0,2021,0,0,0
280205254,33,92,0,6,0,0,0
292162766,,,,,0,1,0
52214336,181,204,5,383,0,0,0
56042125,55,,1,,0,0,0
161367457,245,,1,,0,0,0
7921440,133,86,2,542,0,0,0
317541140,113,66,1,75,0,0,0
278115298,29,71,1,42,0,0,1
7717677,332,,7,,0,0,0
10814645,271,,6,,0,0,0
286675420,661,,0,,0,0,1
274350106,92,189,0,8,0,0,0
2274106,1409,358,57,1449,0,0,0
16424882,35,,0,,0,0,0
324995502,38,14,5,31,0,0,0
23356204,717,,8,,0,0,0
24292471,94,133,18,11133,0,0,0
